id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
101481,hyperlace,Hyperlace,,2018-07-03,False,2019-01-09T12:41:06,,0.0,0,0,0,0,56,0,0,PC,Bazooka Express,Puzzle,,,0,0,0,0,0,0
101482,path-of-the-trees,Path of the Trees,,2015-09-14,False,2019-01-09T12:41:06,,0.0,0,0,0,0,51,0,0,Web,burakkurkcu,Strategy,,,0,0,0,0,0,0
101483,toys-are-mad,Toys are Mad,,2015-06-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,30,0,0,Web,sta64,Action,,,0,0,0,0,0,0
101484,sadie-jam,S.A.D.I.E. (JAM),,2017-09-27,False,2019-08-28T23:25:02,,0.0,0,0,0,0,119,0,0,Web,Primate Dogma,Platformer,,,0,0,0,0,0,0
101485,beat-stickman-demo,Beat Stickman - Demo,,2017-12-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,63,0,0,PC||macOS||Android||Web,FVS,,,,0,0,0,0,0,0
101486,marcus-level-itch,Marcus Level (itch),,2016-01-27,False,2019-01-09T12:41:06,,0.0,0,0,0,1,136,0,1,PC||macOS,Plug In Digital,Platformer,,,0,0,0,0,0,0
101487,portal-escape,Portal Escape,,2017-08-16,False,2019-08-28T23:25:02,,0.0,0,0,0,0,79,0,0,Web,marcciosilva,Puzzle,,,0,0,0,0,0,0
101488,hacknes-hacking-simulator,./hAckNES - Hacking Simulator,,2017-03-20,False,2019-01-09T12:41:06,,0.0,0,0,0,0,46,0,0,PC,Cyberus Studio,Simulation,,,0,0,0,0,0,0
101489,dimension-drive-itch,Dimension Drive (itch),,2018-03-25,False,2019-01-09T12:41:06,,0.0,0,0,0,0,370,0,0,PC||macOS||Linux,2awesomestudio,Action||Shooter,,,0,0,0,0,0,0
10149,karnage-chronicles,Karnage Chronicles,,2017-04-24,False,2019-08-28T22:14:35,https://www.karnagechronicles.com/,0.0,0,3,49,3,490,0,3,PC,Nordic Trolls,Action||Adventure||RPG,Nordic Trolls,,1,22,0,0,0,1
101490,ghost-train-demo,Ghost Train - Demo,,2015-09-09,False,2019-01-09T12:41:06,,0.0,0,0,0,0,30,0,0,PC,BruceBelk,Puzzle,,,0,0,0,0,0,0
101491,bunnysitting,bunnysitting,,2017-04-10,False,2019-01-09T12:41:06,,0.0,0,0,0,0,7,0,0,Web,npckc,Simulation,,,0,0,0,0,0,0
101492,warlocks-vs-shadows-itch,Warlocks vs Shadows (itch),,2015-11-27,False,2019-08-28T23:25:02,,0.0,0,0,0,0,245,0,0,PC,OneMoreLevel,Action,,,0,0,0,0,0,0
101493,slovenly-shopper,slovenly shopper,,2017-04-24,False,2019-01-09T12:41:06,,0.0,0,0,0,0,9,0,0,Web,WiddleMedia,Puzzle,,,0,0,0,0,0,0
101494,hunting-simulator-itch,Hunting Simulator (itch),,2017-06-02,False,2019-01-09T12:41:06,,0.0,0,0,0,1,280,0,1,PC,Plug In Digital,Shooter,,,0,0,0,0,0,0
101495,demakemon,Demakemon,,2018-08-21,False,2019-01-09T12:41:06,,0.0,0,0,0,0,76,0,0,PC,Andinh,Adventure||RPG,,,0,0,0,0,0,0
101496,exorder-itch,Exorder (itch),,2018-04-17,False,2019-01-09T12:41:06,,0.0,0,0,0,0,195,0,0,PC||macOS||Linux,Fat Dog Games,Strategy,,,0,0,0,0,0,0
101497,lumi,Lumi,,2018-08-25,False,2019-01-09T12:41:06,,0.0,0,0,0,0,27,0,0,PC,nvlangley,Platformer,,,0,0,0,0,0,0
101498,error404,.error404,,2014-12-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,59,0,0,Web,MechaPoetic,,,,0,0,0,0,0,0
101499,children-of-apollo-itch,Children of Apollo (itch),,2017-11-18,False,2019-01-09T12:41:06,,0.0,0,0,0,0,164,0,0,PC,CargoCultGaming,Action,,,0,0,0,0,0,0
1015,autumn-dynasty-warlords,Autumn Dynasty Warlords,,2014-02-26,False,2019-10-22T14:27:37,,0.0,0,0,0,0,258,0,0,iOS,Touch Dimensions,Action||Strategy,TOUCH DIMENSIONS INTERACTIVE PTE,Everyone 10+,0,0,0,0,0,0
10150,city-car-driving,City Car Driving,,2016-11-03,False,2019-09-17T13:25:01,http://citycardriving.com,3.84,4,3,48,19,348,0,19,PC,Forward Development,Simulation||Racing||Indie,Forward Global Group,,3,130,3,3,9,2
101500,monster-mini-golf,Monster Mini Golf,,2017-10-27,False,2019-01-09T12:41:06,,0.0,0,0,0,0,215,0,0,PC||Linux,Cybernetic Dreams,Sports,,,0,0,0,0,0,0
101501,silent-hill-tribute,Silent Hill Tribute,,2017-03-17,False,2019-01-09T12:41:06,,0.0,0,0,0,0,47,0,0,PC,SymbolicGames,,,,0,0,0,0,0,0
101502,the-bellows-itch,The Bellows (itch),,2016-08-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,143,0,0,PC,Castle Steps,Adventure,,,0,0,0,0,0,0
101503,petal-panic,Petal Panic,,2016-04-17,False,2019-08-28T23:25:02,,0.0,0,0,0,0,26,0,0,Web,sugarplus,,,,0,0,0,0,0,0
101504,project-light-spirit,Project Light Spirit,,2017-09-09,False,2019-08-28T23:25:02,,0.0,0,0,0,0,67,0,0,PC,lightspiritdev,Adventure,,,0,0,0,0,0,0
101505,sleep-deprivation-and-bad-writing-the-visual-novel,Sleep Deprivation and Bad Writing: The Visual Novel,,2017-04-25,False,2019-01-09T12:41:06,,0.0,0,0,0,0,63,0,0,PC||macOS||Linux,Kyle Farwell,,,,0,0,0,0,0,0
101506,selatria,Selatria,,2015-09-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,219,0,0,PC,Whim Independent Studios,RPG,,,0,0,0,0,0,0
101507,metal-mayhem,Metal Mayhem,,2016-05-19,False,2019-01-09T12:41:06,,0.0,0,0,0,0,161,0,0,PC,whitetea,Platformer,,,0,0,0,0,0,0
101508,cga-ricochet,CGA Ricochet,,2017-06-14,False,2019-01-09T12:41:06,,0.0,0,0,0,0,100,0,0,Web,oliverbenns,Puzzle,,,0,0,0,0,0,0
101509,larva-mortus-itch,Larva Mortus (itch),,2016-08-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,204,0,0,PC,Meridian4,Action,,,0,0,0,0,0,0
10151,fog-of-war,Fog of War,,2017-02-22,False,2019-08-23T12:12:48,,0.0,0,5,0,0,508,0,0,PC,Monkeys Lab.,Action||RPG||Strategy||Simulation||Massively Multiplayer||Indie,Neokosmos Technologies,,2,22,0,1,0,0
101510,3pm-3d-platformer-maker,3PM - 3D Platformer Maker,,2017-07-04,False,2019-01-09T12:41:06,,0.0,0,0,0,0,84,0,0,PC,superuser,Platformer,,,0,0,0,0,0,0
101511,monsters-and-medicine-itch,Monsters and Medicine (itch),,2017-08-11,False,2019-01-09T12:41:06,,0.0,0,0,0,0,126,0,0,PC||macOS||Linux,Clockwork Acorn||Francois van Niekerk||Ramperkash,Puzzle,,,0,0,0,0,0,0
101512,even-in-arcadia-there-i-am,"Even in Arcadia, There I am",,2016-01-16,False,2019-01-09T12:41:06,,0.0,0,0,0,0,86,0,0,PC||macOS||Linux,Aleks Samoylov,,,,0,0,0,0,0,0
101513,a-feast-for-rabbits,A Feast for Rabbits,,2014-09-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,118,0,0,PC||macOS,foxel,Action||Fighting,,,0,0,0,0,0,0
101514,evie-itch,Evie (itch),,2018-02-22,False,2019-01-09T12:41:06,,0.0,0,0,0,0,231,0,0,PC,Chilla's Art,Adventure||Puzzle,,,0,0,0,0,0,0
101516,reflections-at-sunset-a-meditative-twine-experienc,Reflections at Sunset - A meditative Twine experience,,2016-04-21,False,2019-03-27T22:32:46,,0.0,0,0,0,1,58,0,1,Web,Charles Hans Huang,,,,0,0,1,0,0,0
101517,weapossession,Weapossession,,2015-04-19,False,2019-01-09T12:41:06,,0.0,0,0,0,0,73,0,0,,Alexander Taylor,Shooter,,,0,0,0,0,0,0
101518,co-op-snek-online-itch,Co-op SNEK Online (itch),,2018-04-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,43,0,0,PC||macOS||Linux,Jhomas,Action,,,0,0,0,0,0,0
101519,the-last-haven,The Last Haven (itch),,2017-04-27,False,2019-08-28T23:25:02,,0.0,0,0,0,0,59,0,0,PC||Web,Tomáš Bencko,Platformer,,,0,0,0,0,0,0
10152,killing-room,Killing Room,,2016-10-20,False,2019-09-17T11:45:19,http://killingroom.aldagames.com/,2.83,3,2,42,6,607,0,6,PC,Alda Games,Action||RPG||Indie,Alda Games,,5,124,1,1,4,0
101520,bleed-off,Bleed-Off,,2015-09-01,False,2019-01-09T12:41:06,,0.0,0,0,0,0,120,0,0,PC,daffodil||TrashCastle,Action,,,0,0,0,0,0,0
101521,i-am-alone,I Am Alone,,2018-01-06,False,2019-08-28T23:25:02,,0.0,0,0,0,0,29,0,0,PC,Portrait Prophecies,Adventure||Puzzle,,,0,0,0,0,0,0
101522,the-paper-ship-ludum-dare-37,The Paper Ship (Ludum Dare 37),,2016-12-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,57,0,0,Web,kirill losev,,,,0,0,0,0,0,0
101523,blackbird-2-itch,Blackbird (itch),,2016-10-30,False,2019-08-28T23:25:02,,0.0,0,0,0,0,85,0,0,Web,aeveis,Platformer,,,0,0,0,0,0,0
101524,si-kancil-the-adventurous-mousedeer,Si Kancil: The Adventurous Mousedeer,,2016-02-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,394,0,0,macOS,Binarystudio 54,Puzzle||Platformer,,,0,0,0,0,0,0
101525,ueuiiou,Ueuiiou,,2015-08-11,False,2019-01-09T12:41:06,,0.0,0,0,0,0,16,0,0,Web,Squidly Games,Simulation,,,0,0,0,0,0,0
101526,ms2525execute,MS.2525.EXE.CUTE,,2014-11-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,19,0,0,PC||macOS,SuperLore,Shooter,,,0,0,0,0,0,0
101527,flamoos,Flamoos,,2015-07-24,False,2019-01-09T12:41:06,,0.0,0,0,0,0,48,0,0,PC||macOS,AndreK,Platformer,,,0,0,0,0,0,0
101529,dead_fileexe-itch,dead_file.exe (itch),,2017-10-29,False,2019-08-28T23:25:02,,0.0,0,0,0,0,20,0,0,PC,Dyen,Platformer,,,0,0,0,0,0,0
